18/03/15 05:55:14 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/15 05:55:15 INFO client.RMProxy: Connecting to ResourceManager at cluster-053a-m/10.138.0.2:8032
18/03/15 05:55:15 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/15 05:55:16 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/03/15 05:55:16 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/03/15 05:55:17 INFO input.FileInputFormat: Total input files to process : 3035
18/03/15 05:55:17 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/15 05:55:18 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1520105285817_0002
18/03/15 05:55:18 INFO impl.YarnClientImpl: Submitted application application_1520105285817_0002
18/03/15 05:55:18 INFO mapreduce.Job: The url to track the job: http://cluster-053a-m:8088/proxy/application_1520105285817_0002/
18/03/15 05:55:18 INFO mapreduce.Job: Running job: job_1520105285817_0002
18/03/15 05:55:26 INFO mapreduce.Job: Job job_1520105285817_0002 running in uber mode : false
18/03/15 07:34:11 INFO mapreduce.Job:  map 92% reduce 0%
18/03/15 07:35:11 INFO mapreduce.Job:  map 93% reduce 0%
18/03/15 07:36:08 INFO mapreduce.Job:  map 94% reduce 0%
18/03/15 07:37:12 INFO mapreduce.Job:  map 95% reduce 0%
18/03/15 07:38:03 INFO mapreduce.Job:  map 95% reduce 13%
18/03/15 07:38:21 INFO mapreduce.Job:  map 96% reduce 13%
18/03/15 07:39:27 INFO mapreduce.Job:  map 97% reduce 13%
18/03/15 07:40:37 INFO mapreduce.Job:  map 98% reduce 13%
18/03/15 07:41:43 INFO mapreduce.Job:  map 99% reduce 13%
18/03/15 07:42:53 INFO mapreduce.Job:  map 100% reduce 13%
18/03/15 07:43:28 INFO mapreduce.Job:  map 100% reduce 14%
18/03/15 07:43:34 INFO mapreduce.Job:  map 100% reduce 15%
18/03/15 07:43:38 INFO mapreduce.Job:  map 100% reduce 20%
18/03/15 07:43:40 INFO mapreduce.Job:  map 100% reduce 26%
18/03/15 07:43:46 INFO mapreduce.Job:  map 100% reduce 27%
18/03/15 07:43:47 INFO mapreduce.Job:  map 100% reduce 35%
18/03/15 07:43:52 INFO mapreduce.Job:  map 100% reduce 37%
18/03/15 07:43:58 INFO mapreduce.Job:  map 100% reduce 39%
18/03/15 07:43:59 INFO mapreduce.Job:  map 100% reduce 40%
18/03/15 07:44:04 INFO mapreduce.Job:  map 100% reduce 42%
18/03/15 07:44:05 INFO mapreduce.Job:  map 100% reduce 43%
18/03/15 07:44:10 INFO mapreduce.Job:  map 100% reduce 45%
18/03/15 07:44:11 INFO mapreduce.Job:  map 100% reduce 46%
18/03/15 07:44:16 INFO mapreduce.Job:  map 100% reduce 50%
18/03/15 07:44:17 INFO mapreduce.Job:  map 100% reduce 51%
18/03/15 07:44:22 INFO mapreduce.Job:  map 100% reduce 58%
18/03/15 07:44:23 INFO mapreduce.Job:  map 100% reduce 59%
18/03/15 07:44:28 INFO mapreduce.Job:  map 100% reduce 62%
18/03/15 07:44:29 INFO mapreduce.Job:  map 100% reduce 63%
18/03/15 07:44:34 INFO mapreduce.Job:  map 100% reduce 65%
18/03/15 07:44:38 INFO mapreduce.Job:  map 100% reduce 67%
18/03/15 07:44:40 INFO mapreduce.Job:  map 100% reduce 69%
18/03/15 07:44:41 INFO mapreduce.Job:  map 100% reduce 70%
18/03/15 07:44:44 INFO mapreduce.Job:  map 100% reduce 75%
18/03/15 07:44:46 INFO mapreduce.Job:  map 100% reduce 77%
18/03/15 07:44:47 INFO mapreduce.Job:  map 100% reduce 78%
18/03/15 07:44:50 INFO mapreduce.Job:  map 100% reduce 80%
18/03/15 07:44:52 INFO mapreduce.Job:  map 100% reduce 82%
18/03/15 07:44:53 INFO mapreduce.Job:  map 100% reduce 83%
18/03/15 07:44:58 INFO mapreduce.Job:  map 100% reduce 85%
18/03/15 07:44:59 INFO mapreduce.Job:  map 100% reduce 86%
18/03/15 07:45:05 INFO mapreduce.Job:  map 100% reduce 89%
18/03/15 07:45:09 INFO mapreduce.Job:  map 100% reduce 90%
18/03/15 07:45:11 INFO mapreduce.Job:  map 100% reduce 92%
18/03/15 07:45:14 INFO mapreduce.Job:  map 100% reduce 93%
18/03/15 07:45:17 INFO mapreduce.Job:  map 100% reduce 94%
18/03/15 07:45:18 INFO mapreduce.Job:  map 100% reduce 95%
18/03/15 07:45:24 INFO mapreduce.Job:  map 100% reduce 96%
18/03/15 07:45:27 INFO mapreduce.Job:  map 100% reduce 97%
18/03/15 07:45:33 INFO mapreduce.Job:  map 100% reduce 98%
18/03/15 07:45:39 INFO mapreduce.Job:  map 100% reduce 99%
18/03/15 07:45:45 INFO mapreduce.Job:  map 100% reduce 100%
18/03/15 07:45:47 INFO mapreduce.Job: Job job_1520105285817_0002 completed successfully
18/03/15 07:45:47 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=3420439271
		FILE: Number of bytes written=7283947350
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=235895406
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=445818
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=3035
		Launched reduce tasks=5
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=112801100
		Total time spent by all reduces in occupied slots (ms)=5008012
		Total time spent by all map tasks (ms)=28200275
		Total time spent by all reduce tasks (ms)=1252003
		Total vcore-milliseconds taken by all map tasks=28200275
		Total vcore-milliseconds taken by all reduce tasks=1252003
		Total megabyte-milliseconds taken by all map tasks=57754163200
		Total megabyte-milliseconds taken by all reduce tasks=2564102144
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420530279
		Input split bytes=445818
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420530279
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =15175
		Failed Shuffles=0
		Merged Map outputs=15175
		GC time elapsed (ms)=645209
		CPU time spent (ms)=5197760
		Physical memory (bytes) snapshot=1466729181184
		Virtual memory (bytes) snapshot=10616598937600
		Total committed heap usage (bytes)=1332922548224
